latitude,longitude,acq_date,acq_time,confidence,frp,instrument,satellite,acq_datetime
27.00881,76.55927,2026-02-15,0802,n,2.15,VIIRS,N,2026-02-15 08:02:00
27.17161,75.50048,2026-02-15,0802,l,5.74,VIIRS,N,2026-02-15 08:02:00
27.17289,75.48715,2026-02-15,0802,l,3.63,VIIRS,N,2026-02-15 08:02:00
27.17361,75.49136,2026-02-15,0802,n,4.91,VIIRS,N,2026-02-15 08:02:00
27.17432,75.49555,2026-02-15,0802,l,4.91,VIIRS,N,2026-02-15 08:02:00
27.7106,76.42234,2026-02-15,0802,n,2.77,VIIRS,N,2026-02-15 08:02:00
27.71136,76.40573,2026-02-15,0802,n,2.7,VIIRS,N,2026-02-15 08:02:00
27.82233,76.8923,2026-02-15,0802,n,3.4,VIIRS,N,2026-02-15 08:02:00
27.83227,76.07059,2026-02-15,0802,n,6.51,VIIRS,N,2026-02-15 08:02:00
27.91287,76.21703,2026-02-15,0802,n,2.01,VIIRS,N,2026-02-15 08:02:00
27.96778,76.19315,2026-02-15,0802,n,5.43,VIIRS,N,2026-02-15 08:02:00
28.00763,76.39548,2026-02-15,0802,n,6.34,VIIRS,N,2026-02-15 08:02:00
28.01096,76.39481,2026-02-15,0802,n,6.34,VIIRS,N,2026-02-15 08:02:00
28.25027,77.63631,2026-02-15,0802,n,3.31,VIIRS,N,2026-02-15 08:02:00
28.31774,78.06104,2026-02-15,0802,n,2.87,VIIRS,N,2026-02-15 08:02:00
28.3286,75.66144,2026-02-15,0802,n,10.33,VIIRS,N,2026-02-15 08:02:00
28.3857,78.12872,2026-02-15,0802,n,3.5,VIIRS,N,2026-02-15 08:02:00
28.40106,75.7569,2026-02-15,0802,n,1.98,VIIRS,N,2026-02-15 08:02:00
28.40396,78.27475,2026-02-15,0802,n,1.82,VIIRS,N,2026-02-15 08:02:00
28.56589,75.69658,2026-02-15,0802,n,4.36,VIIRS,N,2026-02-15 08:02:00
28.56755,78.24012,2026-02-15,0802,n,2.43,VIIRS,N,2026-02-15 08:02:00
28.65073,77.7764,2026-02-15,0802,n,1.94,VIIRS,N,2026-02-15 08:02:00
28.671,79.35795,2026-02-15,0802,n,2.25,VIIRS,N,2026-02-15 08:02:00
28.7178,75.61817,2026-02-15,0802,n,5.15,VIIRS,N,2026-02-15 08:02:00
28.71904,75.58382,2026-02-15,0802,n,1.82,VIIRS,N,2026-02-15 08:02:00
28.73358,76.6897,2026-02-15,0802,n,9.36,VIIRS,N,2026-02-15 08:02:00
