datetime_hour,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,cloud_cover,location_name
2025-02-18 00:00:00+00:00,17.2,70,1.8,336,986.6,0.0,57,"R K Puram, Delhi - DPCC"
2025-02-18 01:00:00+00:00,17.0,74,1.1,279,987.7,0.0,26,"R K Puram, Delhi - DPCC"
2025-02-18 02:00:00+00:00,16.8,75,3.2,251,988.3,0.0,98,"R K Puram, Delhi - DPCC"
2025-02-18 03:00:00+00:00,18.9,65,5.1,264,988.9,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-18 04:00:00+00:00,19.8,62,5.9,258,989.8,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-18 05:00:00+00:00,21.0,58,7.1,254,990.7,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-18 06:00:00+00:00,22.0,53,9.6,258,990.8,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-18 07:00:00+00:00,23.3,45,6.7,275,989.9,0.0,94,"R K Puram, Delhi - DPCC"
2025-02-18 08:00:00+00:00,24.8,35,6.4,288,988.6,0.0,1,"R K Puram, Delhi - DPCC"
2025-02-18 09:00:00+00:00,26.3,29,7.8,289,987.5,0.0,1,"R K Puram, Delhi - DPCC"
2025-02-18 10:00:00+00:00,26.4,27,9.0,290,987.1,0.0,0,"R K Puram, Delhi - DPCC"
2025-02-18 11:00:00+00:00,25.9,26,8.6,286,986.8,0.0,0,"R K Puram, Delhi - DPCC"
2025-02-18 12:00:00+00:00,24.8,30,7.1,286,986.9,0.0,0,"R K Puram, Delhi - DPCC"
2025-02-18 13:00:00+00:00,23.4,36,5.1,309,987.4,0.0,2,"R K Puram, Delhi - DPCC"
2025-02-18 14:00:00+00:00,22.0,46,4.2,306,987.8,0.0,1,"R K Puram, Delhi - DPCC"
2025-02-18 15:00:00+00:00,21.3,52,3.9,317,988.1,0.0,0,"R K Puram, Delhi - DPCC"
2025-02-18 16:00:00+00:00,20.8,55,3.1,306,988.2,0.0,0,"R K Puram, Delhi - DPCC"
2025-02-18 17:00:00+00:00,19.9,56,5.0,322,988.4,0.0,0,"R K Puram, Delhi - DPCC"
2025-02-18 18:00:00+00:00,18.9,59,4.9,321,988.0,0.0,0,"R K Puram, Delhi - DPCC"
2025-02-18 19:00:00+00:00,17.9,61,4.9,294,987.5,0.0,0,"R K Puram, Delhi - DPCC"
2025-02-18 20:00:00+00:00,17.0,63,5.1,287,987.1,0.0,0,"R K Puram, Delhi - DPCC"
2025-02-18 21:00:00+00:00,16.1,66,4.8,281,986.6,0.0,0,"R K Puram, Delhi - DPCC"
2025-02-18 22:00:00+00:00,15.6,68,5.1,280,986.2,0.0,8,"R K Puram, Delhi - DPCC"
2025-02-18 23:00:00+00:00,15.1,69,5.1,288,985.9,0.0,8,"R K Puram, Delhi - DPCC"
2025-02-19 00:00:00+00:00,14.7,69,5.2,284,986.0,0.0,97,"R K Puram, Delhi - DPCC"
2025-02-19 01:00:00+00:00,14.1,76,5.1,274,986.9,0.0,93,"R K Puram, Delhi - DPCC"
2025-02-19 02:00:00+00:00,14.3,75,6.1,268,987.5,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-19 03:00:00+00:00,16.0,68,5.9,272,988.2,0.0,90,"R K Puram, Delhi - DPCC"
2025-02-19 04:00:00+00:00,19.2,56,4.1,268,989.1,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-19 05:00:00+00:00,21.9,45,4.5,268,989.1,0.0,88,"R K Puram, Delhi - DPCC"
2025-02-19 06:00:00+00:00,24.2,36,5.8,275,988.7,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-19 07:00:00+00:00,25.7,29,6.7,267,987.3,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-19 08:00:00+00:00,26.5,26,6.9,253,985.7,0.0,81,"R K Puram, Delhi - DPCC"
2025-02-19 09:00:00+00:00,27.0,25,7.3,242,984.4,0.0,76,"R K Puram, Delhi - DPCC"
2025-02-19 10:00:00+00:00,27.0,26,8.5,242,984.1,0.0,99,"R K Puram, Delhi - DPCC"
2025-02-19 11:00:00+00:00,26.5,28,8.5,249,984.0,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-19 12:00:00+00:00,25.5,31,6.5,251,984.2,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-19 13:00:00+00:00,24.1,38,4.1,283,985.2,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-19 14:00:00+00:00,23.6,42,4.0,309,985.9,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-19 15:00:00+00:00,22.8,49,3.7,337,986.2,0.0,100,"R K Puram, Delhi - DPCC"
2025-02-19 16:00:00+00:00,21.8,49,7.3,205,987.6,0.3,100,"R K Puram, Delhi - DPCC"
2025-02-19 17:00:00+00:00,20.0,61,5.8,219,987.0,0.5,92,"R K Puram, Delhi - DPCC"
2025-02-19 18:00:00+00:00,18.2,72,3.2,63,986.2,0.2,99,"R K Puram, Delhi - DPCC"
2025-02-19 19:00:00+00:00,18.1,73,8.3,250,986.1,0.0,99,"R K Puram, Delhi - DPCC"
2025-02-19 20:00:00+00:00,17.0,78,2.3,356,985.7,0.5,99,"R K Puram, Delhi - DPCC"
2025-02-19 21:00:00+00:00,16.9,75,10.3,4,985.1,0.1,75,"R K Puram, Delhi - DPCC"
2025-02-19 22:00:00+00:00,16.4,79,9.7,332,985.5,0.7,100,"R K Puram, Delhi - DPCC"
2025-02-19 23:00:00+00:00,15.9,86,11.8,59,985.5,1.3,62,"R K Puram, Delhi - DPCC"
2025-02-20 00:00:00+00:00,15.1,83,12.1,55,985.7,0.0,99,"R K Puram, Delhi - DPCC"
2025-02-20 01:00:00+00:00,16.2,87,10.0,104,986.2,0.1,27,"R K Puram, Delhi - DPCC"
2025-02-20 02:00:00+00:00,16.4,82,10.1,89,987.2,0.0,35,"R K Puram, Delhi - DPCC"
2025-02-20 03:00:00+00:00,17.9,73,10.3,96,987.8,0.0,35,"R K Puram, Delhi - DPCC"
2025-02-20 04:00:00+00:00,19.8,64,10.8,80,989.0,0.0,72,"R K Puram, Delhi - DPCC"
2025-02-20 05:00:00+00:00,20.2,62,12.8,87,989.6,0.2,97,"R K Puram, Delhi - DPCC"
2025-02-20 06:00:00+00:00,20.8,59,12.2,112,989.8,0.0,62,"R K Puram, Delhi - DPCC"
2025-02-20 07:00:00+00:00,21.6,57,13.5,80,989.5,0.5,19,"R K Puram, Delhi - DPCC"
2025-02-20 08:00:00+00:00,22.9,53,15.8,105,987.9,0.0,7,"R K Puram, Delhi - DPCC"
2025-02-20 09:00:00+00:00,23.5,48,16.6,119,987.1,0.0,2,"R K Puram, Delhi - DPCC"
2025-02-20 10:00:00+00:00,23.6,46,16.5,120,986.5,0.0,33,"R K Puram, Delhi - DPCC"
2025-02-20 11:00:00+00:00,23.1,49,14.3,117,986.7,0.0,21,"R K Puram, Delhi - DPCC"
2025-02-20 12:00:00+00:00,21.9,54,13.9,114,986.6,0.0,32,"R K Puram, Delhi - DPCC"
2025-02-20 13:00:00+00:00,21.0,61,14.4,121,986.6,0.0,8,"R K Puram, Delhi - DPCC"
2025-02-20 14:00:00+00:00,20.0,67,14.9,118,986.9,0.0,17,"R K Puram, Delhi - DPCC"
2025-02-20 15:00:00+00:00,19.5,67,9.7,89,987.7,0.2,63,"R K Puram, Delhi - DPCC"
2025-02-20 16:00:00+00:00,15.9,89,13.1,38,988.9,2.3,54,"R K Puram, Delhi - DPCC"
2025-02-20 17:00:00+00:00,16.1,87,7.6,78,989.2,1.0,19,"R K Puram, Delhi - DPCC"
2025-02-20 18:00:00+00:00,16.1,87,9.0,84,989.4,0.2,37,"R K Puram, Delhi - DPCC"
2025-02-20 19:00:00+00:00,15.6,88,9.2,48,989.7,0.2,36,"R K Puram, Delhi - DPCC"
2025-02-20 20:00:00+00:00,15.2,90,6.9,57,989.7,0.1,14,"R K Puram, Delhi - DPCC"
